AscendOS - Hardware Requirements by Seat Count
Hardware specification only. Three deployment options: Managed platform (Render), Raw VPS (Hetzner), Serverless (Google Cloud Run).
Usage: Code Compass 15-20 searches per seat per working day. Code Inspector 5-7 scans per user per working day.
Hardware columns are sized on the HIGH end of that range. Peak hour sized at 3x the daily average.
Totals include the search index host, which becomes its own machine past a threshold.

Code Compass only
Every seat runs 15–20 Code Compass searches per working day.
Seats,Peak concurrent jobs (low usage),Peak concurrent jobs (high usage),vCPU required (high),App RAM required GB (high),Search index RAM GB,Search index disk GB,MANAGED: web instances,MANAGED: index host,MANAGED: total machines,MANAGED: total vCPU,MANAGED: total RAM GB,VPS: web servers,VPS: index host,VPS: total machines,VPS: total vCPU,VPS: total RAM GB,SERVERLESS: peak instances,SERVERLESS: warm instances,SERVERLESS: peak vCPU,SERVERLESS: peak RAM GB,SERVERLESS: search index
740,13.88,18.50,5.90,7.67,3.76,5,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
760,14.25,19.00,6.05,7.85,3.84,5,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
780,14.63,19.50,6.20,8.02,3.95,6,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
800,15.00,20.00,6.35,8.20,4.02,6,"Standard x7","Pro Plus x1",8,11,22,"CX43 x1","CX33 x1",2,12,24,1,1,1,2,"managed service"
820,15.38,20.50,6.50,8.38,4.13,6,"Standard x7","Pro Plus x1",8,11,22,"CX43 x1","CX33 x1",2,12,24,1,1,1,2,"managed service"
840,15.75,21.00,6.65,8.55,4.21,6,"Standard x7","Pro Plus x1",8,11,22,"CX43 x1","CX33 x1",2,12,24,1,1,1,2,"managed service"

Code Compass, plus 200 Code Inspector users
All seats run Compass. 200 of them also run Code Inspector 5–7 times per working day.
Seats,Peak concurrent jobs (low usage),Peak concurrent jobs (high usage),vCPU required (high),App RAM required GB (high),Search index RAM GB,Search index disk GB,MANAGED: web instances,MANAGED: index host,MANAGED: total machines,MANAGED: total vCPU,MANAGED: total RAM GB,VPS: web servers,VPS: index host,VPS: total machines,VPS: total vCPU,VPS: total RAM GB,SERVERLESS: peak instances,SERVERLESS: warm instances,SERVERLESS: peak vCPU,SERVERLESS: peak RAM GB,SERVERLESS: search index
20,0.95,1.30,0.74,1.66,0.44,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
40,1.90,2.60,1.13,2.11,0.52,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
60,2.84,3.91,1.52,2.57,0.63,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
80,3.79,5.21,1.91,3.02,0.70,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
100,4.74,6.51,2.30,3.48,0.81,2,"Standard x3","on web instance",3,3,6,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
120,5.69,7.81,2.69,3.93,0.89,2,"Standard x3","on web instance",3,3,6,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
140,6.64,9.11,3.08,4.39,1.00,2,"Standard x4","on web instance",4,4,8,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
160,7.58,10.42,3.48,4.85,1.07,2,"Standard x4","on web instance",4,4,8,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
180,8.53,11.72,3.87,5.30,1.18,2,"Standard x4","on web instance",4,4,8,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
200,9.48,13.02,4.26,5.76,1.25,2,"Standard x5","Pro x1",6,7,14,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
220,9.85,13.52,4.41,5.93,1.37,2,"Standard x5","Pro x1",6,7,14,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
240,10.23,14.02,4.56,6.11,1.44,2,"Standard x5","Pro x1",6,7,14,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
